seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
1,standard,clean,present_only,154,0.5,0.501756258058779,0.4444444444444444,0.08501174448208357,0.06855325816983082,0,0
1,standard,clean,global_scene_memory,154,0.461038961038961,0.46300001482074316,0.4074074074074074,0.12785346953206464,0.259576110574015,0.1542194455478303,0
1,standard,clean,object_separated_memory,154,0.7532467532467533,0.755235427504335,0.6666666666666666,0.05797085494631044,0.09696281078494937,0.034518282696647695,0
1,standard,clean,object_contour_memory,154,0.7727272727272727,0.774117054229099,0.7037037037037037,0.05488163076144716,0.047361219691625336,0.02977734904309559,0
1,standard,clean,shuffled_object_memory_control,154,0,0,0,0.29388546491631773,0.8335741393079761,0.9848436106642782,0
1,standard,clean,oracle,154,1,1,1,0,0,0,0
1,standard,corrupt,present_only,154,0.5,0.501756258058779,0.4444444444444444,0.08501174448208357,0.06855325816983082,0,0
1,standard,corrupt,global_scene_memory,154,0.4090909090909091,0.4077556948705408,0.37254901960784315,0.1302504236642793,0.20904030435938387,0.2536915983163469,0
1,standard,corrupt,object_separated_memory,154,0.564935064935065,0.5653001941517348,0.5370370370370371,0.10605426838676892,0.20461979968289537,0.09646756126169813,0
1,standard,corrupt,object_contour_memory,154,0.5844155844155844,0.5838187126702533,0.5510204081632653,0.09584873241077674,0.1421149133579277,0.09420368661171942,0
1,standard,corrupt,shuffled_object_memory_control,154,0,0,0,0.2783672871863567,0.751908572838762,0.9852101676899467,0
1,standard,corrupt,oracle,154,1,1,1,0,0,0,0
1,hard,clean,present_only,249,0.5381526104417671,0.5381993564246802,0.5287356321839081,0.08307241804108781,0.017793644593526947,0,0
1,hard,clean,global_scene_memory,249,0.41365461847389556,0.4116492158069203,0.3253012048192771,0.12291081114596122,0.3109684759597117,0.05774941925504311,0
1,hard,clean,object_separated_memory,249,0.7349397590361446,0.7347504378053462,0.6987951807228916,0.06222967767385804,0.11800647852237128,0.02944095283293921,0
1,hard,clean,object_contour_memory,249,0.7309236947791165,0.7309190201808251,0.6987951807228916,0.05876283472099698,0.0653844202793427,0.02536452292399536,0
1,hard,clean,shuffled_object_memory_control,249,0,0,0,0.2962468842340516,0.8495353551566853,0.9844765807426996,0
1,hard,clean,oracle,249,1,1,1,0,0,0,0
1,hard,corrupt,present_only,249,0.5381526104417671,0.5381993564246802,0.5287356321839081,0.08307241804108781,0.017793644593526947,0,0
1,hard,corrupt,global_scene_memory,249,0.4899598393574297,0.49113316352855035,0.4578313253012048,0.1171690919084271,0.21570511385694746,0.13207811094811628,0
1,hard,corrupt,object_separated_memory,249,0.6024096385542169,0.6033819549988109,0.5542168674698795,0.09801510000940031,0.17875841315532176,0.10259274584795396,0
1,hard,corrupt,object_contour_memory,249,0.5983935742971888,0.5989778990836034,0.5421686746987951,0.08989750966476247,0.15052508187821334,0.0996741978831932,0
