seed,severity,condition,mode,missing_count,missing_accuracy,missing_soft_iou,missing_brier,missing_ece,outside_hallucination_rate
1,standard,clean,present_only,223,0.31390134529147984,0.19920508776836143,0.22316396775496505,0.042641271755338495,0
1,standard,clean,last_observation,223,0.9013452914798207,0.8361179233595936,0.04903126739312695,0.06980011735635958,0
1,standard,clean,decayed_material_memory,223,0.9865470852017937,0.85404486837705,0.013353507160606865,0.06395555811940681,0
1,standard,clean,contour_material_memory,223,0.9955156950672646,0.7421496345165108,0.018692564813764155,0.1461336762162339,0
1,standard,clean,shuffled_memory_control,223,0.273542600896861,0.15640979805299704,0.44637045070766646,0.6490489261855263,0
1,standard,clean,oracle,223,1,1,0,0,0
1,standard,corrupt,present_only,223,0.31390134529147984,0.19920508776836143,0.22316396775496505,0.042641271755338495,0
1,standard,corrupt,last_observation,223,0.4439461883408072,0.29245530435691564,0.23075951023823865,0.16651683094762615,0
1,standard,corrupt,decayed_material_memory,223,0.8475336322869955,0.4892178390867203,0.09231489912945919,0.16054629780065946,0
1,standard,corrupt,contour_material_memory,223,0.8654708520179372,0.448082082424555,0.09671853952214257,0.2184626744534652,0
1,standard,corrupt,shuffled_memory_control,223,0.34080717488789236,0.20781214862141875,0.3025946956422225,0.35149203202358414,0
1,standard,corrupt,oracle,223,1,1,0,0,0
1,hard,clean,present_only,351,0.3162393162393162,0.1987693919909397,0.2241621708214696,0.05637766816276607,0
1,hard,clean,last_observation,351,0.7350427350427351,0.5973056489165027,0.09978621446732286,0.07191633708098169,0
1,hard,clean,decayed_material_memory,351,0.9943019943019943,0.8590332490926688,0.01209633913107723,0.06888099519211628,0
1,hard,clean,contour_material_memory,351,0.9943019943019943,0.7461862341813686,0.017639883561821047,0.13813377845296726,0
1,hard,clean,shuffled_memory_control,351,0.32193732193732194,0.19135438111492928,0.41429180699917245,0.6082334892522652,0
1,hard,clean,oracle,351,1,1,0,0,0
1,hard,corrupt,present_only,351,0.3162393162393162,0.1987693919909397,0.2241621708214696,0.05637766816276607,0
1,hard,corrupt,last_observation,351,0.50997150997151,0.3397036931907003,0.265033109092954,0.31128689014304256,0
1,hard,corrupt,decayed_material_memory,351,0.8148148148148148,0.4593772303403531,0.10349956191755243,0.14762343372792483,0
1,hard,corrupt,contour_material_memory,351,0.8290598290598291,0.42263506051513317,0.10694587295768605,0.20471060598811774,0
1,hard,corrupt,shuffled_memory_control,351,0.3190883190883191,0.19057904556041927,0.3104576811317863,0.3495588070580397,0
1,hard,corrupt,oracle,351,1,1,0,0,0
1,extreme,clean,present_only,459,0.31808278867102396,0.19882505856168817,0.22445205505826252,0.05587843016554367,0
1,extreme,clean,last_observation,459,0.6143790849673203,0.46676224733658206,0.13371159823742815,0.07737524064719783,0
1,extreme,clean,decayed_material_memory,459,0.9869281045751634,0.8631581170607623,0.012730929935931742,0.0614943976627976,0
1,extreme,clean,contour_material_memory,459,0.9912854030501089,0.753216026200317,0.017539571449645904,0.13061738846198748,0
1,extreme,clean,shuffled_memory_control,459,0.37254901960784315,0.23038818402988825,0.3808081996326558,0.5615992842544116,0
1,extreme,clean,oracle,459,1,1,0,0,0
1,extreme,corrupt,present_only,459,0.31808278867102396,0.19882505856168817,0.22445205505826252,0.05587843016554367,0
1,extreme,corrupt,last_observation,459,0.3877995642701525,0.25512176746400944,0.22781811362978574,0.13619273501952478,0
1,extreme,corrupt,decayed_material_memory,459,0.803921568627451,0.4729406198492084,0.10617008704821876,0.10989712461490077,0
1,extreme,corrupt,contour_material_memory,459,0.8148148148148148,0.43494555178337,0.10722173521548677,0.16886584754292003,0
1,extreme,corrupt,shuffled_memory_control,459,0.32461873638344224,0.2012619072813915,0.31130757980289864,0.3753563207177603,0
1,extreme,corrupt,oracle,459,1,1,0,0,0
2,standard,clean,present_only,222,0.30180180180180183,0.19887013316597904,0.2235683131624094,0.05007244245454767,0
2,standard,clean,last_observation,222,0.963963963963964,0.9319826208324892,0.024024024024024024,0.036036036036036,0
2,standard,clean,decayed_material_memory,222,0.990990990990991,0.8849083049302373,0.009447261521079636,0.05065581048376209,0
2,standard,clean,contour_material_memory,222,0.990990990990991,0.7713891877084925,0.014257292830702038,0.12329468325278044,0
2,standard,clean,shuffled_memory_control,222,0.32432432432432434,0.19772079742636706,0.4138395354777813,0.6160108561829046,0
2,standard,clean,oracle,222,1,1,0,0,0
2,standard,corrupt,present_only,222,0.30180180180180183,0.19887013316597904,0.2235683131624094,0.05007244245454767,0
2,standard,corrupt,last_observation,222,0.35585585585585583,0.24814826258742653,0.22872173343494298,0.13907317232589378,0
2,standard,corrupt,decayed_material_memory,222,0.8288288288288288,0.4748285400349424,0.09588691541509343,0.153418854470654,0
2,standard,corrupt,contour_material_memory,222,0.8513513513513513,0.4381638122375233,0.09958617468956428,0.21776379000977175,0
2,standard,corrupt,shuffled_memory_control,222,0.36936936936936937,0.21383847463080274,0.29044278576409593,0.3060406049888055,0
2,standard,corrupt,oracle,222,1,1,0,0,0
2,hard,clean,present_only,349,0.32664756446991405,0.1998394978799278,0.22243533573551258,0.017156973051902447,0
2,hard,clean,last_observation,349,0.4383954154727794,0.2745114646057986,0.19164048542720322,0.006940798191792867,0
2,hard,clean,decayed_material_memory,349,0.994269340974212,0.875753090773606,0.010793718552409652,0.060195613761511745,0
2,hard,clean,contour_material_memory,349,0.997134670487106,0.7622429122518412,0.015829886377703172,0.1317707184868515,0
2,hard,clean,shuffled_memory_control,349,0.30945558739255014,0.1865089947340185,0.424471033275559,0.6246736682039227,0
2,hard,clean,oracle,349,1,1,0,0,0
2,hard,corrupt,present_only,349,0.32664756446991405,0.1998394978799278,0.22243533573551258,0.017156973051902447,0
2,hard,corrupt,last_observation,349,0.33810888252148996,0.21576845606712983,0.2295123625080764,0.06962300664576532,0
2,hard,corrupt,decayed_material_memory,349,0.7851002865329513,0.4579495415248827,0.11220796216787787,0.10185642900280897,0
2,hard,corrupt,contour_material_memory,349,0.7994269340974212,0.4231376277116425,0.11275557360485931,0.16605300499166206,0
2,hard,corrupt,shuffled_memory_control,349,0.30659025787965616,0.18953875794189645,0.3186367648300515,0.3789325228546256,0
2,hard,corrupt,oracle,349,1,1,0,0,0
2,extreme,clean,present_only,456,0.3223684210526316,0.19903105101816773,0.22400615627517212,0.04253408591115909,0
2,extreme,clean,last_observation,456,0.8135964912280702,0.7072563736766838,0.08084009996800616,0.09030323022039774,0
2,extreme,clean,decayed_material_memory,456,0.9956140350877193,0.8712168198656824,0.01064098338605215,0.06393166166787145,0
2,extreme,clean,contour_material_memory,456,0.9978070175438597,0.7554789071063661,0.016039396603557837,0.13676192784291005,0
2,extreme,clean,shuffled_memory_control,456,0.3333333333333333,0.20180901800803688,0.40735752708780254,0.5983490400865147,0
2,extreme,clean,oracle,456,1,1,0,0,0
2,extreme,corrupt,present_only,456,0.3223684210526316,0.19903105101816773,0.22400615627517212,0.04253408591115909,0
2,extreme,corrupt,last_observation,456,0.5131578947368421,0.3441393780289704,0.22163940524308853,0.18879196598739154,0
2,extreme,corrupt,decayed_material_memory,456,0.7631578947368421,0.4479282518969933,0.1262709486251134,0.16299790165092753,0
2,extreme,corrupt,contour_material_memory,456,0.7763157894736842,0.4143743637682619,0.12413604261283136,0.14519019263901667,0
2,extreme,corrupt,shuffled_memory_control,456,0.3157894736842105,0.19356806277778507,0.32242291874135365,0.38394309529917614,0
2,extreme,corrupt,oracle,456,1,1,0,0,0
3,standard,clean,present_only,220,0.33181818181818185,0.1999989260005358,0.22222257588592992,0.0031391872439373025,0
3,standard,clean,last_observation,220,0.4,0.2548149415797888,0.20099504332822632,0.016576237404494855,0
3,standard,clean,decayed_material_memory,220,0.990909090909091,0.8606241377767206,0.015013568694425569,0.06160851919712235,0
3,standard,clean,contour_material_memory,220,0.990909090909091,0.7461268360507854,0.019335242794434732,0.133174073411827,0
3,standard,clean,shuffled_memory_control,220,0.35454545454545455,0.21942109183513359,0.3918873611161735,0.5762537635656246,0
3,standard,clean,oracle,220,1,1,0,0,0
3,standard,corrupt,present_only,220,0.33181818181818185,0.1999989260005358,0.22222257588592992,0.0031391872439373025,0
3,standard,corrupt,last_observation,220,0.4090909090909091,0.24528980666042086,0.24137863118029104,0.13214483445908587,0
3,standard,corrupt,decayed_material_memory,220,0.8545454545454545,0.4650338379194456,0.09953126341915072,0.1791419219539454,0
3,standard,corrupt,contour_material_memory,220,0.8545454545454545,0.4277767932764227,0.10399566554841508,0.23167146056549084,0
3,standard,corrupt,shuffled_memory_control,220,0.2818181818181818,0.18641919693933617,0.3133539841096404,0.39358535077332724,0
3,standard,corrupt,oracle,220,1,1,0,0,0
3,hard,clean,present_only,346,0.3265895953757225,0.19997014627521456,0.2222557793306443,0.009087030283326025,0
3,hard,clean,last_observation,346,0.5346820809248555,0.37179992199734907,0.1574605161866851,0.023715676016130893,0
3,hard,clean,decayed_material_memory,346,0.9826589595375722,0.8712459289358757,0.012549265944365577,0.04789077714281893,0
3,hard,clean,contour_material_memory,346,0.9826589595375722,0.7589808232530554,0.01706146551587528,0.11785931791158563,0
3,hard,clean,shuffled_memory_control,346,0.3236994219653179,0.19881828186129522,0.41226455567919107,0.6110687604294341,0
3,hard,clean,oracle,346,1,1,0,0,0
3,hard,corrupt,present_only,346,0.3265895953757225,0.19997014627521456,0.2222557793306443,0.009087030283326025,0
3,hard,corrupt,last_observation,346,0.5722543352601156,0.40188957834570943,0.21825905154149838,0.22998466023954398,0
3,hard,corrupt,decayed_material_memory,346,0.8265895953757225,0.4766645587158555,0.09660497112897708,0.14835025088381631,0
3,hard,corrupt,contour_material_memory,346,0.8410404624277457,0.4387634447798005,0.10017617142206256,0.21284830610689842,0
3,hard,corrupt,shuffled_memory_control,346,0.2947976878612717,0.18315235873033506,0.3205150718917182,0.38990281964719564,0
3,hard,corrupt,oracle,346,1,1,0,0,0
3,extreme,clean,present_only,453,0.31125827814569534,0.19828446769226382,0.2251622698289057,0.06902341199514817,0
3,extreme,clean,last_observation,453,0.5629139072847682,0.4166340146099809,0.1439173085336009,0.07045362683829344,0
3,extreme,clean,decayed_material_memory,453,0.9735099337748344,0.8473725784810923,0.015854050746263976,0.05636093263292114,0
3,extreme,clean,contour_material_memory,453,0.977924944812362,0.7418912304442956,0.02068077768582565,0.12278116269602923,0
3,extreme,clean,shuffled_memory_control,453,0.32671081677704195,0.19448280986151803,0.41059900255126264,0.595489740097116,0
3,extreme,clean,oracle,453,1,1,0,0,0
3,extreme,corrupt,present_only,453,0.31125827814569534,0.19828446769226382,0.2251622698289057,0.06902341199514817,0
3,extreme,corrupt,last_observation,453,0.4922737306843267,0.33547184118548334,0.23529469534511757,0.23685601467524858,0
3,extreme,corrupt,decayed_material_memory,453,0.7947019867549668,0.46077344651090807,0.11193778502225499,0.13795908399611928,0
3,extreme,corrupt,contour_material_memory,453,0.8013245033112583,0.4246306612638553,0.11246329336888121,0.16759320725282648,0
3,extreme,corrupt,shuffled_memory_control,453,0.3090507726269316,0.18606285885448579,0.32319812863050174,0.3796195232755749,0
3,extreme,corrupt,oracle,453,1,1,0,0,0
4,standard,clean,present_only,234,0.34615384615384615,0.19920678717560536,0.22299678632478617,0.002153846153846728,0
4,standard,clean,last_observation,234,0.8846153846153846,0.8128730940903193,0.05992898005698005,0.09015384615384611,0
4,standard,clean,decayed_material_memory,234,0.9914529914529915,0.8593345950972783,0.01205290672428591,0.06455371872060375,0
4,standard,clean,contour_material_memory,234,0.9914529914529915,0.7493690876385025,0.01721372488563529,0.13245765664162676,0
4,standard,clean,shuffled_memory_control,234,0.3547008547008547,0.21922062958045344,0.38759149428906753,0.572212313509991,0
4,standard,clean,oracle,234,1,1,0,0,0
4,standard,corrupt,present_only,234,0.34615384615384615,0.19920678717560536,0.22299678632478617,0.002153846153846728,0
4,standard,corrupt,last_observation,234,0.47863247863247865,0.2916396566411144,0.22824259829059837,0.1558290598290594,0
4,standard,corrupt,decayed_material_memory,234,0.7948717948717948,0.4997467768737212,0.10288796438426048,0.07123417850656993,0
4,standard,corrupt,contour_material_memory,234,0.7905982905982906,0.4572186378228347,0.10277221355569068,0.13914805784686013,0
4,standard,corrupt,shuffled_memory_control,234,0.3504273504273504,0.2061672787132891,0.3191734668259559,0.392516345002035,0
4,standard,corrupt,oracle,234,1,1,0,0,0
4,hard,clean,present_only,369,0.31978319783197834,0.1999082684212358,0.22224782011042005,0.019059777374635545,0
4,hard,clean,last_observation,369,0.7777777777777778,0.6601340638478314,0.08338967669894344,0.06633967166117934,0
4,hard,clean,decayed_material_memory,369,0.994579945799458,0.8665479620100801,0.01044525179494669,0.0664790648661777,0
4,hard,clean,contour_material_memory,369,0.997289972899729,0.7563480378737296,0.015579887013307012,0.13562360243549948,0
4,hard,clean,shuffled_memory_control,369,0.31978319783197834,0.19099107538309892,0.4161043829790084,0.6090956653959604,0
4,hard,clean,oracle,369,1,1,0,0,0
